date,btc_close,strategy_equity,spot_hodl,lev3x_hodl
2022-11-21,15787.2841796875,2893.740349542216,5490.645259393993,1976.544719816292
2022-11-22,16189.76953125,3247.8452623766857,5630.625275106608,2391.4172042065393
2022-11-23,16610.70703125,3618.270134412187,5777.022746804106,2825.4102988269096
2022-11-24,16604.46484375,3608.275109342289,5774.851782069764,2813.7000380200234
2022-11-25,16521.841796875,3530.2817748574066,5746.116387464998,2722.322349457005
2022-11-26,16464.28125,3474.6230338201963,5726.097457025146,2657.1120704261257
2022-11-27,16444.626953125,3452.726661260865,5719.2619069244965,2631.458084407946
2022-11-28,16217.322265625,3245.9695676535694,5640.207815628307,2389.219623485311
2022-11-29,16444.982421875,3444.31707240488,5719.385535078955,2621.605334855685
2022-11-30,17168.56640625,4084.112389732645,5971.040153337727,3371.195253493998
2022-12-01,16967.1328125,3900.194277055622,5900.983746294067,3155.7151469913506
2022-12-02,17088.66015625,4003.854060323092,5943.249631056324,3277.163876610172
2022-12-03,16908.236328125,3838.661766772596,5880.500191361633,3083.623107353874
2022-12-04,17130.486328125,4032.008157684755,5957.796317472443,3310.1494690005775
2022-12-05,16974.826171875,3888.8511701569514,5903.659412779852,3142.4254614513025
2022-12-06,17089.50390625,3986.410861385725,5943.54307810427,3256.727268654263
2022-12-07,16848.126953125,3766.9532930607047,5859.594806297778,2999.608817909117
2022-12-08,17233.474609375,4105.517524918186,5993.6145184867755,3396.2737014094746
2022-12-09,17133.15234375,4011.5989687857054,5958.723528630883,3286.2378806660286
2022-12-10,17128.724609375,4003.079728261213,5957.183610904741,3276.2566622377867
2022-12-11,17104.193359375,3976.6640113112408,5948.651909695941,3245.3077718926606
2022-12-12,17206.4375,4063.119821556703,5984.211306716599,3346.6001727785915
2022-12-13,17781.318359375,4570.325017267417,6184.148599877187,3940.846318520465
2022-12-14,17815.650390625,4596.139465129223,6196.088905916064,3971.0907566217693
2022-12-15,17364.865234375,4190.056988925655,6039.310744897476,3495.320893895599
2022-12-16,16647.484375,3546.7514298641736,5789.813505861566,2741.618344632594
2022-12-17,16795.091796875,3673.7150553828483,5841.149757362765,2890.370064354565
2022-12-18,16757.9765625,3636.185264741159,5828.241483631011,2846.399825824036
2022-12-19,16439.6796875,3348.3363771344934,5717.541301895683,2509.1534934463466
2022-12-20,16906.3046875,3759.368926060601,5879.828387818998,2990.7229056672513
2022-12-21,16817.53515625,3675.8228892529883,5848.955312983014,2892.839621377615
2022-12-22,16830.341796875,3682.731304760294,5853.409322921398,2900.933582802137
2022-12-23,16796.953125,3648.509762430504,5841.797106984738,2860.8393175958745
2022-12-24,16847.755859375,3689.250652789785,5859.4657439387265,2908.5717092882956
2022-12-25,16841.986328125,3679.613091209542,5857.459163893282,2897.2802559044553
2022-12-26,16919.8046875,3744.3932885823665,5884.523540586133,2973.1773147964836
2022-12-27,16717.173828125,3559.4757399803025,5814.050737615642,2756.526260221155
2022-12-28,16552.572265625,3408.468862798096,5756.804109345512,2579.605251712355
2022-12-29,16642.341796875,3483.966211523786,5788.024973275358,2668.058621025945
2022-12-30,16602.5859375,3444.1263472995465,5774.198318967626,2621.381879615675
2022-12-31,16547.49609375,3390.645639909148,5755.038672128819,2558.7234042943387
2023-01-01,16625.080078125,3455.295855855543,5782.021535752797,2634.468175784095
2023-01-02,16688.470703125,3507.2893498429407,5804.068103780886,2695.3842185749627
2023-01-03,16679.857421875,3495.1626235006365,5801.072498499771,2681.176437482967
2023-01-04,16863.23828125,3653.9658007391477,5864.850361413421,2867.2316608986443
2023-01-05,16836.736328125,3625.866543909165,5855.6332711505065,2834.310320165865
2023-01-06,16951.96875,3723.9569520590767,5895.709850737926,2949.2339200624597
2023-01-07,16955.078125,3722.196217819095,5896.791257451653,2947.171028071934
2023-01-08,17091.14453125,3838.8029869467214,5944.113669586387,3083.788562173509
2023-01-09,17196.5546875,3928.080908224077,5980.774172312417,3188.3873735965176
2023-01-10,17446.29296875,4145.82240352531,6067.630422850985,3443.495257831657
2023-01-11,17934.896484375,4576.152948111488,6237.561396807948,3947.674374445418
2023-01-12,18869.587890625,5403.49389678661,6562.6368740281505,4916.9944329194
2023-01-13,19909.57421875,6324.326577733541,6924.33277671552,5995.850241482465
2023-01-14,20976.298828125,7268.685839118022,7295.327962010252,7102.270002200851
2023-01-15,20880.798828125,7178.060483046504,7262.11410354644,6996.092524116221
2023-01-16,21169.6328125,7429.623616761442,7362.567413248746,7290.826142551217
2023-01-17,21161.51953125,7416.74482869721,7359.745702514561,7275.737239216402
2023-01-18,20688.78125,6990.224140613584,7195.332484044787,6776.021784571438
