date,btc,v9a_eq,v9a_lev
2020-03-26,6716.4404296875,6816.290147712063,2.0
2020-03-27,6469.79833984375,6309.719163495745,2.0
2020-03-28,6242.19384765625,5842.0827918183495,2.0
2020-03-29,5922.04296875,5186.047957923714,2.0
2020-03-30,6429.841796875,6216.9268615860265,2.0
2020-03-31,6438.64453125,6230.92910733923,2.0
2020-04-01,6606.7763671875,6569.51484856398,2.0
2020-04-02,6793.62451171875,6946.103105681544,2.0
2020-04-03,6733.38720703125,6818.793372171297,2.0
2020-04-04,6867.52734375,7088.882960133311,2.0
2020-04-05,6791.12939453125,6928.490969576486,2.0
2020-04-06,7271.78125,7906.912916421139,2.0
2020-04-07,7176.41455078125,7707.495448385741,2.0
2020-04-08,7334.0986328125,8025.443724176122,2.0
2020-04-09,7302.08935546875,7955.508484046213,2.0
2020-04-10,6865.4931640625,7058.503003422349,2.0
2020-04-11,6859.0830078125,7041.187068875383,2.0
2020-04-12,6971.091796875,7265.956823559733,2.0
2020-04-13,6845.03759765625,7003.989905267321,2.0
2020-04-14,6842.427734375,6994.455391315204,2.0
2020-04-15,6642.10986328125,6580.751492628425,2.0
2020-04-16,7116.80419921875,7547.086006420622,2.0
2020-04-17,7096.1845703125,7500.567726616925,2.0
2020-04-18,7257.6650390625,7826.326107258684,2.0
2020-04-19,7189.4248046875,7682.371451686524,2.0
2020-04-20,6881.95849609375,7049.413024254509,2.0
2020-04-21,6880.3232421875,7041.848237204129,2.0
2020-04-22,7117.20751953125,7521.885715138627,2.0
2020-04-23,7429.724609375,8156.392693728456,2.0
2020-04-24,7550.90087890625,8399.55329591308,2.0
2020-04-25,7569.93603515625,8433.8342877481,2.0
2020-04-26,7679.8671875,8653.920680301768,2.0
2020-04-27,7795.60107421875,8885.802060847334,2.0
2020-04-28,7807.05859375,8904.442107955922,2.0
2020-04-29,8801.0380859375,10931.627428472837,2.0
2020-04-30,8658.5537109375,10634.949977400078,2.0
2020-05-01,8864.7666015625,11051.195592792732,2.0
2020-05-02,8988.5966796875,11298.90097557852,2.0
2020-05-03,8897.46875,11107.095536578898,2.0
2020-05-04,8912.654296875,11132.680762719454,2.0
2020-05-05,9003.0703125,11312.048990539195,2.0
2020-05-06,9268.76171875,11849.674133953067,2.0
2020-05-07,9951.5185546875,13237.700788266706,2.0
2020-05-08,9842.666015625,13054.796574568358,2.0
2020-05-09,9593.896484375,12643.121915741052,2.0
2020-05-10,8756.4306640625,11268.800212144675,2.0
2020-05-11,8601.7958984375,11011.609080460114,2.0
2020-05-12,8804.4775390625,11338.858330522107,2.0
