date,pw5_btc,pw5_strategy,pw5_lev
2019-04-27,5268.291015625,4109.461592026866,1.5
2019-04-28,5285.13916015625,4109.461592026866,1.5
2019-04-29,5247.3525390625,4109.461592026866,1.5
2019-04-30,5350.7265625,4109.461592026866,1.5
2019-05-01,5402.697265625,4109.461592026866,1.5
2019-05-02,5505.28369140625,4109.461592026866,1.5
2019-05-03,5768.28955078125,4109.461592026866,1.5
2019-05-04,5831.16748046875,4109.461592026866,1.5
2019-05-05,5795.70849609375,4109.461592026866,1.5
2019-05-06,5746.80712890625,4109.461592026866,1.5
2019-05-07,5829.50146484375,4109.461592026866,1.5
2019-05-08,5982.45751953125,4109.461592026866,1.5
2019-05-09,6174.52880859375,4109.461592026866,1.5
2019-05-10,6378.84912109375,4109.461592026866,1.5
2019-05-11,7204.771484375,4109.461592026866,1.5
2019-05-12,6972.37158203125,4109.461592026866,1.5
2019-05-13,7814.9150390625,4109.461592026866,1.5
2019-05-14,7994.416015625,4109.461592026866,1.5
2019-05-15,8205.16796875,4109.461592026866,1.5
2019-05-16,7884.9091796875,4109.461592026866,1.5
2019-05-17,7343.8955078125,4109.461592026866,1.5
2019-05-18,7271.2080078125,4109.461592026866,1.5
2019-05-19,8197.689453125,4109.461592026866,1.5
2019-05-20,7978.30908203125,4109.461592026866,1.5
2019-05-21,7963.32763671875,4109.461592026866,1.5
2019-05-22,7680.06640625,4109.461592026866,1.5
2019-05-23,7881.8466796875,4109.461592026866,1.5
2019-05-24,7987.37158203125,4109.461592026866,1.5
2019-05-25,8052.5439453125,4109.461592026866,1.5
2019-05-26,8673.2158203125,4109.461592026866,1.5
2019-05-27,8805.7783203125,4109.461592026866,1.5
2019-05-28,8719.9619140625,4109.461592026866,1.5
2019-05-29,8659.4873046875,4109.461592026866,1.5
2019-05-30,8319.47265625,4109.461592026866,1.5
2019-05-31,8574.501953125,4109.461592026866,1.5
2019-06-01,8564.0166015625,4109.461592026866,1.5
2019-06-02,8742.9580078125,4109.461592026866,1.5
2019-06-03,8208.9951171875,4109.461592026866,1.5
2019-06-04,7707.77099609375,4109.461592026866,1.5
2019-06-05,7824.2314453125,4109.461592026866,1.5
2019-06-06,7822.0234375,4109.461592026866,1.5
2019-06-07,8043.951171875,4109.461592026866,1.5
2019-06-08,7954.1279296875,4109.461592026866,1.5
