date,btc_close,spot_hodl,lev2_hodl,lev3_hodl,v2_best
2024-10-29,72720.4921875,25291.394083082778,37082.93566860511,52124.403502907684,34409.50521260066
2024-10-30,72339.5390625,25158.902740935166,36802.85764266533,51704.286463998,34260.909914152406
2024-10-31,70215.1875,24420.076435969157,35310.55298687173,49465.829480307606,33469.16820232301
2024-11-01,69482.46875,24165.244845851023,34786.39065972795,48679.58598959194,33191.074063463275
2024-11-02,69289.2734375,24098.05362317828,34637.549382208555,48456.324073312855,33112.10637586907
2024-11-03,68741.1171875,23907.410857696035,34241.91940472945,47862.879107094195,32902.20503005189
2024-11-04,67811.5078125,23584.10285551925,33581.15293866257,46871.72940799387,32551.63561318905
2024-11-05,69359.5625,24122.49939253356,34643.47251305567,48465.208769583514,33115.24889086296
2024-11-06,75639.078125,26306.446441644017,38995.5827434116,54993.37411511742,35424.25944743716
2024-11-07,75904.859375,26398.882261747003,39164.61505426052,55246.9225813908,35513.939480684014
2024-11-08,76545.4765625,26621.681932899995,39594.241387406764,55891.36208111016,35741.877581078996
2024-11-09,76778.8671875,26702.85264688461,39740.56110378786,56110.84165568181,35819.507455295505
2024-11-10,80474.1875,27988.044749898498,42294.1524829657,59941.22872444857,37174.31446605825
2024-11-11,88701.484375,30849.408874987676,47998.37108781906,68497.55663172861,40200.68564658236
2024-11-12,87955.8125,30590.072329263116,47461.343952972384,67692.01592945859,39915.76608850711
2024-11-13,90584.1640625,31504.184337535527,49270.665458914686,70405.99818837205,40875.70097901558
2024-11-14,87250.4296875,30344.74788007797,46933.58569527153,66900.37854290732,39635.7641299513
2024-11-15,91066.0078125,31671.76433873105,49568.61555397445,70852.9233309617,41033.778297468285
2024-11-16,90558.4765625,31495.25050518695,49196.69073658313,70295.03610487471,40836.453716023054
2024-11-17,89845.8515625,31247.407302173604,48682.25588617514,69523.38382926273,40563.52048653439
2024-11-18,90542.640625,31489.74293883337,49148.03331373137,70222.04997059707,40810.638537391605
2024-11-19,92343.7890625,32116.16272182229,50381.60318207611,72072.40477311419,41465.10859846975
2024-11-20,94339.4921875,32810.24650328342,51750.084597096415,74125.12689564464,42191.15593332759
2024-11-21,98504.7265625,34258.869592287156,54626.775453348506,78440.16318002278,43717.38325835178
2024-11-22,98997.6640625,34430.30787874271,54948.99384153237,78923.49076229858,43888.33611121139
2024-11-23,97777.28125,34005.87204621868,54079.71865325659,77619.5779798849,43427.14246489774
2024-11-24,98013.8203125,34088.137752428505,54223.79718302477,77835.69577453719,43503.583278342674
2024-11-25,93102.296875,32379.963466618847,50788.02063332548,72682.03094998824,41680.73323471294
2024-11-26,91985.3203125,31991.49120008198,49991.881205531696,71487.82180829757,41258.34174047672
2024-11-27,95962.53125,33374.72178813278,52738.31754856043,75607.47632284067,42715.4625791862
2024-11-28,95652.46875,33266.88543221723,52502.68470546998,75254.02705820499,42590.44765691321
2024-11-29,97461.5234375,33896.05492272949,53740.68605354087,77111.02908031133,43247.268838006086
2024-11-30,96449.0546875,33543.92933360349,53016.30851768871,76024.46277653308,42862.950590374974
2024-12-01,97279.7890625,33832.84968912468,53573.84951891762,76860.77427837644,43158.75377306578
2024-12-02,95865.3046875,33340.9074500616,52569.96049632142,75354.94074448216,42626.14080415805
2024-12-03,96002.1640625,33388.50564807936,52645.123788968085,75467.68568345215,42666.01866271446
2024-12-04,98768.53125,34350.61798550931,54548.73809303667,78323.10713955504,43675.980564203455
2024-12-05,96593.5703125,33594.19029187113,53015.7261915852,76023.5892873778,42862.641637464956
2024-12-06,99920.7109375,34751.33351499103,55309.16183771601,79463.74275657404,44079.42311528762
2024-12-07,99923.3359375,34752.24646136242,55290.136382581964,79435.20457387296,44069.32916673784
2024-12-08,101236.015625,35208.78214040898,56182.08247139084,80773.12370708627,44542.5508513794
2024-12-09,97432.71875,33886.03696656489,53516.26050152273,76774.39075228412,43128.19994008148
2024-12-10,96675.4296875,33622.66008972648,52969.333151792074,75953.99972768813,42838.02782647122
2024-12-11,101173.03125,35186.87686170027,56076.654569622624,80614.98185443395,44486.61611506635
2024-12-12,100043.0,34793.864317227126,55269.75316208601,79404.62974312904,44058.51485625144
2024-12-13,101459.2578125,35286.423338511355,56233.69935065136,80850.54902597706,44569.936168570726
2024-12-14,101372.96875,35256.412943654286,56152.52471317103,80728.78706975655,44526.8689931208
2024-12-15,104298.6953125,36273.948733713885,58165.83192404999,83748.74788607501,45595.02842785237
2024-12-16,106029.71875,36875.979806495736,59347.7684817298,85521.65272259472,46222.10445406333
2024-12-17,106140.6015625,36914.543639379976,59402.74742131465,85604.12113197199,46251.27351118077
2024-12-18,100041.5390625,34793.35621909781,55139.49656701887,79209.24485052832,43989.40726541524
