buy_rsi,sell_rsi,1.b,d%,N,cb,ct,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w
30,60,1.0,20,5,3,3,0.03610154632422577,1.5641549315118175,1.0332240237323458,1.0845711769510837,2.7505282148557306,0.5015503429094776,0.03610154632422577
35,65,1.5,20,7,7,3,0.04662433610364626,1.1799359228016173,0.9760960275664189,1.1339514994792135,1.5636741314695584,0.4967518889915133,0.04662433610364626
35,70,1.5,33,7,7,7,0.04269400547807306,1.2529115988960369,0.9239195292590833,1.1660937156456617,2.199658593818772,0.4899635056060687,0.04269400547807306
35,70,1.5,33,7,7,3,0.04269400547807306,1.1900124269960792,0.9239195292590833,1.1588645714975736,1.9685810818984488,0.4829434806085625,0.04269400547807306
30,70,1.0,50,7,3,7,0.03364984310009199,1.6154572616522964,0.908274222929375,1.0777226490676313,2.5973873973064836,0.4802867756693536,0.03364984310009199
30,70,1.0,50,7,3,3,0.03364984310009199,1.5337543011686552,0.908274222929375,1.0745401252970157,2.363114889546697,0.47374497441683383,0.03364984310009199
30,65,1.0,50,7,3,7,0.02817336046836785,1.3960770893324188,1.0110410429861378,1.049342987204183,2.0536344056991775,0.45196892456895904,0.02817336046836785
40,60,1.0,50,7,7,3,0.0,1.7012244384712136,1.1364096403835684,1.3663795014233406,3.085956240948372,0.0,0.0
40,60,1.0,50,7,3,7,0.0,2.8098814230621483,1.0130064768250986,1.5059184889793944,7.282987015565646,0.0,0.0
40,60,1.0,50,7,3,3,0.0,2.3797306621137806,1.1284364034168461,1.469296618276824,5.9110928364421325,0.0,0.0
40,60,1.0,50,5,7,7,0.0,2.394914347946095,1.0634072114295248,1.5650329634818099,5.519020221387416,0.0,0.0
40,60,1.0,50,7,7,7,0.0,1.8970872685202664,1.0517350108380732,1.3899961446324454,3.5055972964186117,0.0,0.0
40,65,1.5,20,5,3,3,0.0,3.839794149420705,0.6896936414116231,1.6513830449769338,10.379210426185828,0.0,0.0
40,65,1.5,20,5,3,7,0.0,4.792298682061431,0.6896936414116231,1.7543330089882156,14.4292287200953,0.0,0.0
40,60,1.5,33,5,3,7,0.0,3.118377644954341,0.886357348385426,1.5860933482484485,9.319457638260243,0.0,0.0
40,65,1.5,20,5,7,7,0.0,3.401138529979016,0.7821716138092487,1.6071865785463315,10.796430482673097,0.0,0.0
40,60,1.5,33,5,3,3,0.0,2.5575579057923963,1.047214554683363,1.481873187414678,7.076662676729694,0.0,0.0
40,60,1.5,50,7,7,7,0.0,1.276558794064199,1.0390797690168196,1.1565691401444553,1.6983495746543833,0.0,0.0
40,60,1.5,20,5,7,7,0.0,2.7685592345423187,0.874290713328095,1.5727190155378994,7.486933986388947,0.0,0.0
40,60,1.5,20,5,7,3,0.0,2.0958955298736224,0.9954649143961554,1.463633220181073,4.406807642367413,0.0,0.0
40,60,1.5,20,5,3,7,0.0,4.043038262638509,0.7646309655104321,1.7265904759910704,13.091657245438107,0.0,0.0
40,60,1.5,20,7,3,3,0.0,2.2348877770009135,1.0247705640983256,1.4174265543720517,7.073816096631767,0.0,0.0
40,60,1.5,20,5,3,3,0.0,3.1221515095807404,0.9043545584198361,1.5771880091421528,8.982231450243818,0.0,0.0
