date,btc_close,paul_usd_eq,paul_xbt_mult,spot_hodl,lev2_hodl,lev3_hodl,v2_strategy
2024-05-08,61187.94140625,23824.510621411817,1.1195466309640774,21280.498696955372,31358.839787809826,43538.25968171476,31372.58815029588
2024-05-09,63049.9609375,24559.386917628028,1.1199966928831548,21928.088782481987,32640.86310559357,45461.29465839037,32052.765171982857
2024-05-10,60792.77734375,23692.170680393858,1.1205646268033984,21143.064945731705,31058.129593125563,43087.19438968836,31213.046461955262
2024-05-11,60793.7109375,23701.268180260922,1.12097769489295,21143.38963945605,31046.092946790584,43069.1394201859,31206.66042346309
2024-05-12,61448.39453125,23963.87317985395,1.121322439027149,21371.081453292623,31488.653925591752,43732.98088838765,31441.460995574555
2024-05-13,62901.44921875,24532.30688852811,1.1214031671396516,21876.43802639005,32486.241208970772,45229.36181345618,31970.730578950417
2024-05-14,61552.7890625,24010.8803056498,1.1216164944466247,21407.3887327202,31535.29818839144,43802.94728258718,31466.20809284633
2024-05-15,66267.4921875,25776.65463200545,1.1184332198712967,23047.111060391868,34800.91457709854,48701.37186564783,33198.7797227312
2024-05-16,65231.58203125,25374.455384988458,1.1184661870682446,22686.83280582733,34066.74596828597,47600.11895242897,32809.266824774335
2024-05-17,67051.875,25890.214050552437,1.1102192550955505,23319.9108479921,35318.91010610671,49478.36515916009,33473.602069002576
2024-05-18,66940.8046875,25813.621005261815,1.1087714680771126,23281.281804652765,35227.68325034525,49341.5248755179,33425.201692668576
2024-05-19,66278.3671875,25509.214681708578,1.106647555323289,23050.893266787618,34753.07563865488,48629.61345798234,33173.398790715444
2024-05-20,71448.1953125,27165.167216744725,1.093213937898152,24848.903105803187,38334.18597482254,54001.27896223383,35073.35562379222
2024-05-21,70136.53125,26667.34261594195,1.0932500313728528,24392.72065005508,37407.18543093629,52610.77814640445,34581.53581030181
2024-05-22,69122.3359375,26282.667010080255,1.0932892235550264,24039.994581321705,36687.309296720756,51530.96394508115,34199.60577973051
2024-05-23,67929.5625,25679.93351982601,1.0869739060204338,23625.160988311025,35843.467014106405,50265.200521159626,33751.90555259705
2024-05-24,68526.1015625,25837.24613888407,1.0841122153093714,23832.630768311134,36244.106995645634,50866.16049346847,33964.464954311494
2024-05-25,69265.9453125,26116.461982389465,1.084123148365745,24089.940355723033,36744.272206256,51616.408309384016,34229.82743140942
2024-05-26,68518.09375,25834.752754404246,1.0841342842900015,23829.845738457945,36209.785064282754,50814.67759642414,33946.25546566248
2024-05-27,69394.5546875,26153.7669217177,1.0836596351675285,24134.66929371643,36804.95137322349,51707.42705983525,34262.02074216584
2024-05-28,68296.21875,25754.46583630146,1.0842762080001636,23752.680033257333,36026.72124428534,50540.08186642803,33849.13102015728
2024-05-29,67578.09375,25484.107925190816,1.0842952109187276,23502.923990227748,35513.10740383204,49769.66110574807,33576.63337721217
2024-05-30,68364.9921875,25769.938971798794,1.0838362254189295,23776.598684767225,36046.19083370013,50569.28625055021,33859.46060399396
2024-05-31,67491.4140625,25451.48974554172,1.0842981613502154,23472.77774025589,35424.465278033305,49636.697917049976,33529.60432845352
2024-06-01,67706.9375,25533.751323477078,1.0843400407431407,23547.734441290017,35560.25003943678,49840.375059155194,33601.64488600091
2024-06-02,67751.6015625,25551.52314817128,1.0843794257801107,23563.268115115086,35577.17942621785,49865.769139326796,33610.62676622103
2024-06-03,68804.78125,25949.869106313432,1.0844276791200749,23929.55252430448,36295.39051308206,50943.0857696231,33991.67340650396
2024-06-04,70567.765625,26616.016480690465,1.0844779620990315,24542.699262578437,37506.958370072425,52760.437555108656,34634.47030817341
2024-06-05,71082.8203125,26792.4305872725,1.083755973956795,24721.82966563339,37850.38607838296,53275.579117574445,34816.67575838882
2024-06-06,70757.1640625,26670.968567858246,1.0838081447455405,24608.569973535425,37609.1015522029,52913.652328304364,34688.662337634494
2024-06-07,69342.5859375,26139.045510554446,1.0838613564838242,24116.595129244793,36610.681906544094,51416.02285981615,34158.95114474297
2024-06-08,69305.7734375,26126.51038664304,1.083917013198457,24103.792143227,36570.613659222574,51355.92048883387,34137.69295017715
