date,w5_btc,w5_strategy,w5_lev
2023-07-30,29275.30859375,10411.00280776995,1.5
2023-07-31,29230.111328125,10405.039339969819,1.5
2023-08-01,29675.732421875,10441.6628244742,1.5
2023-08-02,29151.958984375,10397.005435576515,1.5
2023-08-03,29178.6796875,10398.512168104768,1.5
2023-08-04,29074.091796875,10389.009908516879,1.5
2023-08-05,29042.126953125,10385.598668655428,1.5
2023-08-06,29041.85546875,10384.845261181657,1.5
2023-08-07,29180.578125,10395.499791762531,1.5
2023-08-08,29765.4921875,10434.1417313676,1.5
2023-08-09,29561.494140625,10419.860834113648,1.5
2023-08-10,29429.591796875,10410.419385328833,1.5
2023-08-11,29397.71484375,10407.68913313211,1.5
2023-08-12,29415.96484375,10408.321456520262,1.5
2023-08-13,29282.9140625,10398.80591288536,1.5
2023-08-14,29408.443359375,10406.63559647512,1.5
2023-08-15,29170.34765625,10389.879310963544,1.5
2023-08-16,28701.779296875,10364.26873193361,1.5
2023-08-17,26664.55078125,10253.916494985197,1.5
2023-08-18,26049.556640625,10192.371476732837,1.5
2023-08-19,26096.205078125,10198.760305095066,1.5
2023-08-20,26189.583984375,10212.835306273018,1.5
2023-08-21,26124.140625,10200.774968830217,1.5
2023-08-22,26031.65625,10184.268855173033,1.5
2023-08-23,26431.640625,10248.792263578509,1.5
2023-08-24,26162.373046875,10203.185160231827,1.5
2023-08-25,26047.66796875,10181.709041322227,1.5
2023-08-26,26008.462890625,10169.236498772732,1.5
2023-08-27,26089.693359375,10188.712683553456,1.5
2023-08-28,26106.150390625,10191.001206306199,1.5
2023-08-29,27727.392578125,10617.417798227521,2.0
2023-08-30,27297.265625,10498.920765688088,1.5
2023-08-31,25931.47265625,10127.58089831098,1.5
2023-09-01,25800.724609375,10088.933300278848,1.5
2023-09-02,25868.798828125,10110.885917426318,1.5
2023-09-03,25969.56640625,10144.727087345587,1.5
2023-09-04,25812.416015625,10084.70980036278,1.5
2023-09-05,25779.982421875,10070.089814205463,1.5
2023-09-06,25753.236328125,10057.542854652032,1.5
2023-09-07,26240.1953125,10231.918377025262,1.5
2023-09-08,25905.654296875,10105.513443296668,1.5
2023-09-09,25895.677734375,10096.572511735238,1.5
2023-09-10,25832.2265625,10060.698051323912,1.5
2023-09-11,25162.654296875,9718.580829694056,1.5
2023-09-12,25833.34375,10102.689400993904,1.5
2023-09-13,26228.32421875,10326.982926292378,1.5
2023-09-14,26539.673828125,10499.952235436807,2.0
2023-09-15,26608.693359375,10548.261536638065,2.0
2023-09-16,26568.28125,10509.967842096932,2.0
2023-09-17,26534.1875,10476.683076962398,1.5
2023-09-18,26754.28125,10644.52953002189,2.0
2023-09-19,27211.1171875,10999.643430527207,2.0
2023-09-20,27132.0078125,10930.587899840042,2.0
2023-09-21,26567.6328125,10477.589951557607,1.5
2023-09-22,26579.568359375,10480.725526005306,1.5
2023-09-23,26579.390625,10474.273763059657,1.5
2023-09-24,26256.826171875,10212.737021819737,1.5
2023-09-25,26298.48046875,10239.461036124305,1.5
2023-09-26,26217.25,10168.943912045812,1.5
2023-09-27,26352.716796875,10269.905454104362,1.5
2023-09-28,27021.546875,10792.852784786124,2.0
2023-09-29,26911.720703125,10699.537931403387,2.0
2023-09-30,26967.916015625,10737.611867652919,2.0
2023-10-01,27983.75,11532.7613801222,2.0
2023-10-02,27530.78515625,11239.8705216067,2.0
2023-10-03,27429.978515625,11164.079516006215,2.0
2023-10-04,27799.39453125,11415.064694338476,2.0
2023-10-05,27415.912109375,11142.787814657499,2.0
2023-10-06,27946.59765625,11505.8412451371,2.0
2023-10-07,27968.83984375,11515.469490215937,2.0
2023-10-08,27935.08984375,11484.242654283344,2.0
2023-10-09,27583.677734375,11283.371225610883,2.0
2023-10-10,27391.01953125,11159.205119201535,2.0
2023-10-11,26873.3203125,10834.219145160894,2.0
2023-10-12,26756.798828125,10757.232630651431,2.0
2023-10-13,26862.375,10817.510577419283,2.0
2023-10-14,26861.70703125,10812.116524373978,2.0
2023-10-15,27159.65234375,10991.247455133454,2.0
2023-10-16,28519.466796875,11824.730872154169,2.0
2023-10-17,28415.748046875,11769.22650426655,2.0
2023-10-18,28328.341796875,11721.801629948583,2.0
2023-10-19,28719.806640625,11911.1203088247,2.0
2023-10-20,29682.94921875,12381.522770319534,2.0
2023-10-21,29918.412109375,12471.121123934698,2.0
2023-10-22,29993.896484375,12497.423052734213,2.0
2023-10-23,33086.234375,13716.82458426915,2.0
2023-10-24,33901.52734375,14035.33087608363,2.0
2023-10-25,34502.8203125,14269.107452565604,2.0
2023-10-26,34156.6484375,14128.108224522659,2.0
2023-10-27,33909.80078125,14026.43093189476,2.0
2023-10-28,34089.57421875,14093.503516594947,2.0
2023-10-29,34538.48046875,14266.991707806077,2.0
2023-10-30,34502.36328125,14248.609017962262,2.0
2023-10-31,34667.78125,14309.93396074283,2.0
2023-11-01,35437.25390625,14610.13148686904,2.0
2023-11-02,34938.2421875,14408.576090052096,2.0
2023-11-03,34732.32421875,14322.992955957841,2.0
2023-11-04,35082.1953125,14457.23833263805,2.0
2023-11-05,35049.35546875,14440.087242278581,2.0
2023-11-06,35037.37109375,14431.187993170894,2.0
2023-11-07,35443.5625,14587.670786314819,2.0
2023-11-08,35655.27734375,14667.193566904189,2.0
2023-11-09,36693.125,15073.411138543985,2.0
2023-11-10,37313.96875,15314.588372963837,2.0
2023-11-11,37138.05078125,15240.587720936985,2.0
2023-11-12,37054.51953125,15203.145148438409,2.0
2023-11-13,36502.35546875,14980.377067015468,2.0
2023-11-14,35537.640625,14594.518477655232,2.0
2023-11-15,37880.58203125,15516.889928460283,2.0
2023-11-16,36154.76953125,14829.868029347308,2.0
2023-11-17,36596.68359375,15000.345845275064,2.0
2023-11-18,36585.703125,14991.659985318263,2.0
2023-11-19,37386.546875,15304.03656741358,2.0
2023-11-20,37476.95703125,15335.355042919466,2.0
2023-11-21,35813.8125,14673.165043508856,2.0
2023-11-22,37432.33984375,15309.011644522596,2.0
2023-11-23,37289.62109375,15248.126607929938,2.0
2023-11-24,37720.28125,15414.019032471104,2.0
2023-11-25,37796.79296875,15439.80133098618,2.0
2023-11-26,37479.12109375,15309.682385966427,2.0
2023-11-27,37254.16796875,15216.269655904947,2.0
2023-11-28,37831.0859375,15440.008489285927,2.0
2023-11-29,37858.4921875,15446.357352477531,2.0
2023-11-30,37712.74609375,15384.224482901549,2.0
2023-12-01,38688.75,15765.739839711361,2.0
2023-12-02,39476.33203125,16072.62207315732,2.0
2023-12-03,39978.390625,16266.49171192531,2.0
2023-12-04,41980.09765625,17053.38438720491,2.0
2023-12-05,44080.6484375,17879.130335470578,2.0
2023-12-06,43746.4453125,17741.72782587687,2.0
2023-12-07,43292.6640625,17557.07409051,2.0
2023-12-08,44166.6015625,17897.56188791452,2.0
2023-12-09,43725.984375,17718.06442641148,2.0
2023-12-10,43779.69921875,17734.11823515787,2.0
2023-12-11,41243.83203125,16726.03490648098,2.0
2023-12-12,41450.22265625,16802.763683543897,2.0
2023-12-13,42890.7421875,17367.542629423464,2.0
2023-12-14,43023.97265625,17415.14249187828,2.0
2023-12-15,41929.7578125,16977.295114346896,2.0
2023-12-16,42240.1171875,17095.060161891455,2.0
2023-12-17,41364.6640625,16743.82193848385,2.0
2023-12-18,42623.5390625,17236.77405856198,2.0
2023-12-19,42270.52734375,17092.106035179808,2.0
2023-12-20,43652.25,17633.53457427144,2.0
2023-12-21,43869.15234375,17714.134706589426,2.0
2023-12-22,43997.90234375,17759.846510659067,2.0
2023-12-23,43739.54296875,17652.4485914045,2.0
2023-12-24,43016.1171875,17361.156358099877,2.0
2023-12-25,43613.140625,17590.437361808406,2.0
2023-12-26,42520.40234375,17240.570683905098,2.0
2023-12-27,43442.85546875,17528.383853783384,2.0
2023-12-28,42627.85546875,17266.405537264352,2.0
2023-12-29,42099.40234375,17095.163699812412,2.0
2023-12-30,42156.90234375,17109.35874715015,2.0
2023-12-31,42265.1875,17139.615990969618,2.0
2024-01-01,44167.33203125,17736.01513671263,2.0
2024-01-02,44957.96875,17932.776805110414,2.0
2024-01-03,42848.17578125,17395.356732858432,2.0
2024-01-04,44179.921875,17729.17765936306,2.0
2024-01-05,44162.69140625,17721.460798504926,2.0
2024-01-06,43989.1953125,17674.19318110413,2.0
2024-01-07,43943.09765625,17659.184293502127,2.0
2024-01-08,46970.50390625,18422.107048237212,2.0
2024-01-09,46139.73046875,18208.264070172816,2.0
2024-01-10,46627.77734375,18328.288042691995,2.0
2024-01-11,46368.5859375,18259.143028107916,2.0
2024-01-12,42853.16796875,17365.84101037417,2.0
2024-01-13,42842.3828125,17359.85628287656,2.0
2024-01-14,41796.26953125,17091.82263975147,2.0
2024-01-15,42511.96875,17269.797128794013,2.0
2024-01-16,43154.9453125,17429.310577471202,2.0
2024-01-17,42742.65234375,17321.67812634652,2.0
2024-01-18,41262.05859375,16943.681616171052,2.0
2024-01-19,41618.40625,17030.741959415107,2.0
2024-01-20,41665.5859375,17039.522378723064,2.0
2024-01-21,41545.78515625,17006.035137528932,2.0
2024-01-22,39507.3671875,16486.939815087986,2.0
2024-01-23,39845.55078125,16569.535968353524,2.0
2024-01-24,40077.07421875,16625.109905917823,2.0
2024-01-25,39933.80859375,16585.804182892796,2.0
