date,btc,v4_mechanical,v7b_balanced
2019-06-14,8693.8330078125,0.0,1250.5697775271192
2019-06-15,8838.375,0.0,1250.5697775271192
2019-06-16,8994.48828125,0.0,1250.5697775271192
2019-06-17,9320.3525390625,0.0,1250.5697775271192
2019-06-18,9081.7626953125,0.0,1250.5697775271192
2019-06-19,9273.521484375,0.0,1250.5697775271192
2019-06-20,9527.16015625,0.0,1250.5697775271192
2019-06-21,10144.556640625,0.0,1250.5697775271192
2019-06-22,10701.69140625,0.0,1250.5697775271192
2019-06-23,10855.37109375,0.0,1250.5697775271192
2019-06-24,11011.1025390625,0.0,1250.5697775271192
2019-06-25,11790.9169921875,0.0,1250.5697775271192
2019-06-26,13016.2314453125,0.0,1250.5697775271192
2019-06-27,11182.806640625,0.0,1250.5697775271192
2019-06-28,12407.33203125,0.0,1250.5697775271192
2019-06-29,11959.37109375,0.0,1250.5697775271192
2019-06-30,10817.1552734375,0.0,1250.5697775271192
2019-07-01,10583.134765625,0.0,1250.5697775271192
2019-07-02,10801.677734375,0.0,1250.5697775271192
2019-07-03,11961.26953125,0.0,1250.5697775271192
2019-07-04,11215.4375,0.0,1250.5697775271192
2019-07-05,10978.4599609375,0.0,1250.5697775271192
2019-07-06,11208.55078125,0.0,1250.5697775271192
2019-07-07,11450.8466796875,0.0,1250.5697775271192
2019-07-08,12285.9580078125,0.0,1250.5697775271192
2019-07-09,12573.8125,0.0,1250.5697775271192
2019-07-10,12156.5126953125,0.0,1250.5697775271192
2019-07-11,11358.662109375,0.0,1250.5697775271192
2019-07-12,11815.986328125,0.0,1250.5697775271192
2019-07-13,11392.37890625,0.0,1250.5697775271192
2019-07-14,10256.05859375,0.0,1250.5697775271192
2019-07-15,10895.08984375,0.0,1250.5697775271192
2019-07-16,9477.6416015625,0.0,1250.5697775271192
2019-07-17,9693.802734375,0.0,1250.5697775271192
2019-07-18,10666.482421875,0.0,1250.5697775271192
2019-07-19,10530.732421875,0.0,1250.5697775271192
2019-07-20,10767.1396484375,0.0,1250.5697775271192
2019-07-21,10599.10546875,0.0,1250.5697775271192
2019-07-22,10343.1064453125,0.0,1250.5697775271192
2019-07-23,9900.767578125,0.0,1250.5697775271192
2019-07-24,9811.92578125,0.0,1250.5697775271192
2019-07-25,9911.841796875,0.0,1250.5697775271192
2019-07-26,9870.3037109375,0.0,1250.5697775271192
2019-07-27,9477.677734375,0.0,1250.5697775271192
2019-07-28,9552.8603515625,0.0,1250.5697775271192
2019-07-29,9519.1455078125,0.0,1250.5697775271192
2019-07-30,9607.423828125,0.0,1250.5697775271192
2019-07-31,10085.6279296875,0.0,1250.5697775271192
2019-08-01,10399.6689453125,0.0,1250.5697775271192
2019-08-02,10518.1748046875,0.0,1250.5697775271192
2019-08-03,10821.7265625,0.0,1250.5697775271192
2019-08-04,10970.1845703125,0.0,1250.5697775271192
2019-08-05,11805.6533203125,0.0,1250.5697775271192
2019-08-06,11478.1689453125,0.0,1250.5697775271192
2019-08-07,11941.96875,0.0,1250.5697775271192
