tol%,d%,buy_rsi,trim_rsi,ab200,deep_OS,stop_dd,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w,any_liq,max_dd_any%,stops_total
1.0,50,50,0,0.95,0.8,0.2,0.9899164762745242,1.1141194449766159,0.9930792486146508,1.0441798156126434,1.1950591565885802,1.0341234274810274,0.9899164762745242,False,5.8886108543356634,1
1.0,50,50,0,0.95,0.8,0.25,0.9858444535123221,1.1141194449766159,0.9930792486146508,1.0441798156126434,1.1950591565885802,1.0330583160396734,0.9858444535123221,False,5.8886108543356634,1
1.0,50,50,0,0.95,0.8,0.3,0.9843559721040496,1.1141194449766159,0.9930792486146508,1.0441798156126434,1.1950591565885802,1.0326681531972919,0.9843559721040496,False,5.8886108543356634,1
1.0,50,50,0,1.0,0.7,0.2,1.0,1.0635107048792056,1.0,1.0441798156126434,1.1102131757028706,1.0265480678124606,1.0,False,4.970287443034794,0
1.0,50,50,0,1.0,0.7,0.25,1.0,1.0635107048792056,1.0,1.0441798156126434,1.1102131757028706,1.0265480678124606,1.0,False,4.970287443034794,0
1.0,50,50,0,1.0,0.7,0.3,1.0,1.0635107048792056,1.0,1.0441798156126434,1.1102131757028706,1.0265480678124606,1.0,False,4.970287443034794,0
1.0,50,50,0,1.0,0.8,0.2,1.0,1.0635107048792056,1.0,1.0441798156126434,1.1102131757028706,1.0265480678124606,1.0,False,4.970287443034794,0
1.0,50,50,0,1.0,0.8,0.25,1.0,1.0635107048792056,1.0,1.0441798156126434,1.1102131757028706,1.0265480678124606,1.0,False,4.970287443034794,0
1.0,50,50,0,1.0,0.8,0.3,1.0,1.0635107048792056,1.0,1.0441798156126434,1.1102131757028706,1.0265480678124606,1.0,False,4.970287443034794,0
1.0,50,50,50,0.95,0.7,0.2,0.9899164762745242,1.1369985984603568,0.9930792486146508,1.0450486563464387,1.220443399719135,1.0396082686796966,0.9899164762745242,False,5.985033221992742,1
1.0,50,50,50,0.95,0.7,0.25,0.9858444535123221,1.1369985984603568,0.9930792486146508,1.0450486563464387,1.220443399719135,1.0385375080411972,0.9858444535123221,False,5.985033221992742,1
1.0,50,50,50,0.95,0.7,0.3,0.9843559721040496,1.1369985984603568,0.9930792486146508,1.0450486563464387,1.220443399719135,1.0381452758314893,0.9843559721040496,False,5.985033221992742,1
1.0,50,50,50,0.95,0.8,0.2,0.9899164762745242,1.1369985984603568,0.9930792486146508,1.0450486563464387,1.220443399719135,1.0396082686796966,0.9899164762745242,False,5.985033221992742,1
1.0,50,50,50,0.95,0.8,0.25,0.9858444535123221,1.1369985984603568,0.9930792486146508,1.0450486563464387,1.220443399719135,1.0385375080411972,0.9858444535123221,False,5.985033221992742,1
1.0,50,50,50,0.95,0.8,0.3,0.9843559721040496,1.1369985984603568,0.9930792486146508,1.0450486563464387,1.220443399719135,1.0381452758314893,0.9843559721040496,False,5.985033221992742,1
1.0,50,50,50,1.0,0.7,0.2,1.0,1.0866624761818133,1.0,1.0450486563464387,1.1350902897782438,1.0323044404224373,1.0,False,5.080397022351779,0
1.0,50,50,50,1.0,0.7,0.25,1.0,1.0866624761818133,1.0,1.0450486563464387,1.1350902897782438,1.0323044404224373,1.0,False,5.080397022351779,0
1.0,50,50,50,1.0,0.7,0.3,1.0,1.0866624761818133,1.0,1.0450486563464387,1.1350902897782438,1.0323044404224373,1.0,False,5.080397022351779,0
1.0,50,50,50,1.0,0.8,0.2,1.0,1.0866624761818133,1.0,1.0450486563464387,1.1350902897782438,1.0323044404224373,1.0,False,5.080397022351779,0
1.0,50,50,50,1.0,0.8,0.25,1.0,1.0866624761818133,1.0,1.0450486563464387,1.1350902897782438,1.0323044404224373,1.0,False,5.080397022351779,0
